Planta	Vantagem	Desvantagem	Uso
Abacate (Persea americana)	Geração de renda	Crescimento lento, difícil manejo (adubação, poda, pulverização)	Barreira externa ou cerca viva em área de cultivo
Banana (Musa spp.)	Geração de renda, crescimento rápido	Hospedeiro de tripes e ferrugem 	Barreira externa ou cerca viva em área de cultivo
Café arábica (Coffea arabica)	Geração de renda, refúgio de insetos benéficos, aumento da diversidade local	Custo alto da muda 	Barreira externa ou cerca viva em área de cultivo
Cana-de-açúcar (Saccharum spp.)	Hospedeiro de insetos benéficos (vespas), alimentação animal e humana, uso em biofertilizantes (BK)	Risco de fogo, difícil manejo, atração de cigarrinha das pastagens 	Barreira externa ou cerca viva em área de cultivo
Capim-elefante (Pannisetum purpureum) cultivar Cameroon	Uso na alimentação animal	Aumenta o risco de fogo 	Barreira externa ou cerca viva em área de cultivo
Ciprestes (árvores coníferas da família   Cupressaceae)	Permeabilidade e permite monocultivo	Não hospeda muitos insetos benéficos e polinizadores, alto custo da muda e crescimento lento 	Barreira externa ou cerca viva em área de cultivo
Citrus(Citrus spp.	Geração de renda, sementes para porta enxerto e baixo custo	Atração de pulgões 	Barreira externa ou cerca viva em área de cultivo
Cravo (Syzygium aromaticum)	Geração de renda, sementes para porta enxerto e baixo custo	Atração de pulgões 	Barreira externa ou cerca viva em área de cultivo
Eucalipto (Eucalyptus spp.)	Baixo custo, crescimento rápido, aumento da biomassa e da umidade local e geração de renda	Difícil manejo e necessidade de podas 	Barreira externa ou cerca viva em área de cultivo
Gliricidia (Gliricidia sepium)	Mourão vivo, fonte de alimento para o gado, alto teor de proteína e oferece abrigo para inimigos naturais	Dificuldade em encontrar estacas 	Barreira externa ou cerca viva em área de cultivo
Hibisco (Hibiscus spp.)	Atração de polinizadores, usado como remédio, multiplicação por estaquia	Crescimento lento 	Barreira externa ou cerca viva em área de cultivo
Manga (Mangifera indica)	Geração de renda, aumento de sombra/copa e geração de renda	Crescimento lento, infestação de cochonilhas 	Barreira externa ou cerca viva em área de cultivo
Margaridão (Tithonia diversifolia)	Atração de polinizadores e inimigos naturais	Invasora agressiva 	Barreira externa ou cerca viva em área de cultivo
Sansão do campo (Mimosa caesalpiniifolia)	Proteção e produção de madeira	Possui muitos espinhos e é invasora agressiva	Barreira externa ou cerca viva em área de cultivo
Amora (Rubus spp.)	Geração de renda, chá, aumento de biomassa e pegamento fácil	Manejo intenso	Barreira interna ou cordões de contorno em áreas de cultivo
Banana (Musa spp.)	Produção de biomassa, quebra-vento, cobertura de solo e aumento da diversidade	Sombreamento 	Barreira interna ou cordões de contorno em áreas de cultivo
Café (Coffea arabica)	Geração de renda, aumento da diversidade, atração de insetos benéficos e polinizadores	Alto custo inicial e mão-de-obra 	Barreira interna ou cordões de contorno em áreas de cultivo
Cravo de defunto (Tagetes spp.)	Repelente de herbívoros e atraentes para insetos benéficos 		Barreira interna ou cordões de contorno em áreas de cultivo
Crotalária (Crotalaria spp.)	Adubo verde, atração de insetos benéficos e recurso alternativo para abelas	Tóxica para alimentação animal	Barreira interna ou cordões de contorno em áreas de cultivo
Eucalipto (Eucalyptus spp.)	Biomassa, quebra-vento, atração de polinizador	Difícil manejo e alelopatia	Barreira interna ou cordões de contorno em áreas de cultivo
Feijão guandu (Cajanus cajan)	Maior fertilidade do solo, ciclagem de nutrientes, alimentação animal e fixação de nitrogên	Difícil manejo	Barreira interna ou cordões de contorno em áreas de cultivo
Hibisco (Hibiscus spp.)	Comércio de flores		Barreira interna ou cordões de contorno em áreas de cultivo
Margaridão (Tithonia diversifolia)	  Atração de insetos benéficos	Potencial invasora e difícil manejo 	Barreira interna ou cordões de contorno em áreas de cultivo
Mentrasto (Ageratum conyzoides)	 Repelente de pragas e abrigo de insetos benéficos		Barreira interna ou cordões de contorno em áreas de cultivo
Milho (Zea mays)	Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Milheto (Pennisetum glaucum)	 Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Sorgo (Sorghum bicolor)	 Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Pitanga (Eugenia uniflora)	Atração de insetos benéficos e polinizadores, geração de renda	Manejo intenso 	Barreira interna ou cordões de contorno em áreas de cultivo
Sabugueiro (Sambucus spp.)	Refúgio de insetos benéficos e alta floração	Atração de pulgões 	Barreira interna ou cordões de contorno em áreas de cultivo
Aveia preta (Avena strigosa)	Produção de massa, produção em época fria, adequado para rotação de cultura e cobertura morta	Atração de lesmas	Condicionadoras de solo em áreas de cultivo
Cana de açúcar (Saccharum spp.)	Produção de massa, alto valor do produto, alimentação animal e humana, uso como biofertilizantes e barreira	Infestação com cigarrinha-das-pastagens, difícil manejo e custo elevado 	Condicionadoras de solo em áreas de cultivo
Capim elefante (Pennisetum purpureum)	Alta produção de massa, alimentação animal e quebra-vento	Investimento alto, rebrota, manejo difícil e ataque de pragas 	Condicionadoras de solo em áreas de cultivo
Crotalária (Crotalaria spp.)	Fixa nitrogênio, controle de nematoides, atração de insetos benéficos e polinizadores	Ciclo longo, embucha na grade, pouca massa, hospedeiro de oídio e míldio, tóxico pra bovinos	Condicionadoras de solo em áreas de cultivo
Feijão de porco (Canavalia ensiformis)	Fixação de nitrogênio, biomassa, boa para consórcio e disponibilidade de sementes	Inviável para criação de porcos	Condicionadoras de solo em áreas de cultivo
Feijão guandu (Cajanus cajan)	Ciclagem de nutrientes, solubiliza fósforo, alimentação animal e humana e descompactação do solo	Rápido crescimento e ruim para consórcio	Condicionadoras de solo em áreas de cultivo
Milheto (P. glaucum)	Alta relação carbono/nitrogênio, controle de nematoide, reciclagem de fósforo e potássio, abrigo do inseto predador tesourinha, alimentação animal	Rebrota, não é cultivado no inverno	Condicionadoras de solo em áreas de cultivo
Milho (Z. mays)	Facilmente encontrado, valor comercial do produto, opção para consórcio, alta relação carbono/nitrogênio	Abriga muitas praga e doenças	Condicionadoras de solo em áreas de cultivo
Mucuna preta (Stizolobium aterrimum)	Fixação de nitrogênio, controle de nematoides e produção de biomassa	Planta invasora	Condicionadoras de solo em áreas de cultivo
Nabo forrageiro (Raphanus sativus)	Descompactação do solo e boa opção no inverno	Baixa produção de biomassa	Condicionadoras de solo em áreas de cultivo
Tefrosia (Tephrosia spp.)	Fixa nitrogênio, possui rotenona que pode ser usado como inseticida e aumento de matéria orgânica	Baixa disponibilidade de sementes	Condicionadoras de solo em áreas de cultivo
Trigo mourisco (Fagopyrum esculentum)	Boa opção no inverno, atração de insetos benéficos e polinizadores	Restrito a climas amenos	Condicionadoras de solo em áreas de cultivo
Alface (Lactuca sativa)	Aproveitamento da área, controle de pragas e facilidade de manejo	Tripes atacando a cultura	Consórcios e policultivos em áreas de cultivo
Cenoura (Daucus carota)	Aproveitamento da área, controle de pragas e facilidade de manejo	Tripes atacando a cultura	Consórcios e policultivos em áreas de cultivo
Cheiro verde	Aproveitamento da área, controle de pragas e facilidade de manejo	Tripes atacando a cultura	Consórcios e policultivos em áreas de cultivo
Alho (Allium sativum) e alface	Repelência de pragas (tripes)	Ciclo das plantas bastante desigual. Alho fica por longo tempo solteiro após colheita do alface	Consórcios e policultivos em áreas de cultivo
Café (Coffea spp.) e banana (Musa spp.)	Sombreamento do cafeeiro		Consórcios e policultivos em áreas de cultivo
Coentro (C. sativum)	Controle da traça, diminuição de infestação de nematoide e atração de inimigos naturais de insetos	Dificuldade nos tratos culturais e irrigação	Consórcios e policultivos em áreas de cultivo
Tomate (Solanum lycopersicum)	Controle da traça, diminuição de infestação de nematoide e atração de inimigos naturais de insetos	Dificuldade nos tratos culturais e irrigação	Consórcios e policultivos em áreas de cultivo
Repolho (Brassica oleracea)	Controle da traça, diminuição de infestação de nematoide e atração de inimigos naturais de insetos	Dificuldade nos tratos culturais e irrigação	Consórcios e policultivos em áreas de cultivo
Limão (Citrus spp.)	Paga a formação do pomar	Tempo limitado ao ciclo das plantas anuais exigindo replantio	Consórcios e policultivos em áreas de cultivo
Batata-doce (Ipomoea batatas)	Paga a formação do pomar	Tempo limitado ao ciclo das plantas anuais exigindo replantio	Consórcios e policultivos em áreas de cultivo
Curcubitáceas	Paga a formação do pomar	Tempo limitado ao ciclo das plantas anuais exigindo replantio	Consórcios e policultivos em áreas de cultivo
Limão	Aproveitamento do espaço, sombreamento no pimentão	Manejo do pomar, danifica as raízes superficiais do pimentão	Consórcios e policultivos em áreas de cultivo
Pimentão (Capsicum annuum)	Aproveitamento do espaço, sombreamento no pimentão	Manejo do pomar, danifica as raízes superficiais do pimentão	Consórcios e policultivos em áreas de cultivo
Maracujá (Passiflora spp.)	Explora diferentes extratos e rápida geração de renda	Abóbora (vírus), polinização (as outras plantas atraem Apis mellifera que pilha o pólen e não poliniza o maracujá)	Consórcios e policultivos em áreas de cultivo
Berinjela (Solanum melongena)	Explora diferentes extratos e rápida geração de renda	Abóbora (vírus), polinização (as outras plantas atraem Apis mellifera que pilha o pólen e não poliniza o maracujá)	Consórcios e policultivos em áreas de cultivo
Abóbora (Cucurbita spp.)	Explora diferentes extratos e rápida geração de renda	Abóbora (vírus), polinização (as outras plantas atraem Apis mellifera que pilha o pólen e não poliniza o maracujá)	Consórcios e policultivos em áreas de cultivo
Feijão (Phaseolus vulgaris)	Explora diferentes extratos e rápida geração de renda	Abóbora (vírus), polinização (as outras plantas atraem Apis mellifera que pilha o pólen e não poliniza o maracujá)	Consórcios e policultivos em áreas de cultivo
Maxixe (Cucumis anguria)	Explora diferentes extratos e rápida geração de renda	Abóbora (vírus), polinização (as outras plantas atraem Apis mellifera que pilha o pólen e não poliniza o maracujá)	Consórcios e policultivos em áreas de cultivo
Maracujá	Diminuição da incidência de ácaro no mamão, aproveitamento da arquitetura da planta		Consórcios e policultivos em áreas de cultivo
Mamão (Carica papaya)	Diminuição da incidência de ácaro no mamão, aproveitamento da arquitetura da planta		Consórcios e policultivos em áreas de cultivo
Maxixe	Aproveitamento da área, arquitetura da planta, atração de polinizadores e famílias diferentes	Aumento de nematoides (milho)	Consórcios e policultivos em áreas de cultivo
Quiabo (Abelmoschus esculentus)	Aproveitamento da área, arquitetura da planta, atração de polinizadores e famílias diferentes	Aumento de nematoides (milho)	Consórcios e policultivos em áreas de cultivo
Pimenta (Capsicum spp.)	Aproveitamento da área, arquitetura da planta, atração de polinizadores e famílias diferentes	Aumento de nematoides (milho)	Consórcios e policultivos em áreas de cultivo
Berinjela	Aproveitamento da área, arquitetura da planta, atração de polinizadores e famílias diferentes	Aumento de nematoides (milho)	Consórcios e policultivos em áreas de cultivo
Jiló (Solanum aethiopicum)	Aproveitamento da área, arquitetura da planta, atração de polinizadores e famílias diferentes	Aumento de nematoides (milho)	Consórcios e policultivos em áreas de cultivo
Milho (Zea mays)	Aproveitamento da área e aproveitamento da arquitetura da planta	Milho atrapalha a polinização da abóbora	Consórcios e policultivos em áreas de cultivo
Abóbora	Aproveitamento da área e aproveitamento da arquitetura da planta	Milho atrapalha a polinização da abóbora	Consórcios e policultivos em áreas de cultivo
Milho e feijão	Fixação de nitrogênio, aproveitamento de água e adubo, descompactação de solo, diminuição de capinas e atração de insetos benéficos (tesourinha)	Passível de aumento de doenças de solo, operacionalização (plantio / colheita), sincronização dos tratos culturais e atração de vaquinhas	Consórcios e policultivos em áreas de cultivo
Feijão	Fixação de nitrogênio, aproveitamento de água e adubo, descompactação de solo, diminuição de capinas e atração de insetos benéficos (tesourinha)	Passível de aumento de doenças de solo, operacionalização (plantio / colheita), sincronização dos tratos culturais e atração de vaquinhas	Consórcios e policultivos em áreas de cultivo
Pimenta do reino (Piper nigrum)	Fixação de nitrogênio, aumento de insetos benéficos, sombreamento	Competição por nutrientes, pouco valor econômico	Consórcios e policultivos em áreas de cultivo
Leguminosas	Fixação de nitrogênio, aumento de insetos benéficos, sombreamento	Competição por nutrientes, pouco valor econômico	Consórcios e policultivos em áreas de cultivo
Sistema Agroflorestal e hortaliças	Aumento de insetos benéficos, aproveitamento do solo e água e ciclagem de nutrientes		Consórcios e policultivos em áreas de cultivo
Assa peixe (Vernonia spp.)	Fornece alimento para abelhas, uso medicinal		Manejo para promover diversificação vegetal das áreas de cultivo
Beodroega (Portulaca spp.)	Indicador de solo fértil	Arquitetura não favorece abrigo para os inimigos naturais	Manejo para promover diversificação vegetal das áreas de cultivo
Caruru (Amarantus spp.)	Indicador de solo fértil, fonte de abrigo e alimento para percevejos predadores, uso na alimentação animal e humana	Porte alto – competição por luz	Manejo para promover diversificação vegetal das áreas de cultivo
Joá de capote (Nicandra physalodes)	Nas bordaduras – quebra-vento, fácil controle, indicador de solo fértil	Solanácea (fonte de mosca-branca que pode transmitir vírus)	Manejo para promover diversificação vegetal das áreas de cultivo
Margaridão (T. diversifolia)	Atrativo para joaninhas e outros insetos benéficos, uso na alimentação animal e produção de biomassa	Atrai vaquinhas (besouro praga de diversas culturas) e é de difícil manejo	Manejo para promover diversificação vegetal das áreas de cultivo
Mentrasto (A. conyzoides)	Alimento alternativo para insetos benéficos, hospeda ácaros predadores, aromática		Manejo para promover diversificação vegetal das áreas de cultivo
Picão preto (Bidens spp.)	Indicador de solo fértil, fornece alimento alternativo para joaninha e mindinho (díptero predador na fase larval), fácil disseminação, baixo competidor, ciclagem de nutriente, atração do pulgão Uroleucon spp.	Fácil dispersão, eficiente na retirada de água, hospeda trips (vetor de vírus)	Manejo para promover diversificação vegetal das áreas de cultivo
Serralha (Sonchus oleraceus)	Indicador de solo fértil, refúgio e fonte de alimento, favorece pulgão-joaninha, fácil disseminação e usada na alimentação animal e humana		Manejo para promover diversificação vegetal das áreas de cultivo
Tiririca (Cyperus spp.)	Fornece alimento para abelhas	Difícil manejo 	Manejo para promover diversificação vegetal das áreas de cultivo
